%Run markID T P a_C a_Ne
1 1 298   4.53 3.5534 3.7981  
1 1 298   7.55 3.5474 3.6658 
1 1 298   9.38 3.5426 3.6019  
1 1 298  11.2  3.5372 3.5533  
1 1 298  13.6  3.5324 3.4996  
1 1 298  15.5  3.5278 3.4664  
1 1 298  17.9  3.5221 3.4277  
1 1 298  19.8  3.5179 3.4008  
1 1 298  22.5  3.5115 3.3672  
1 1 298  24.5  3.5077 3.3463  
1 1 298  26    3.5044 3.3312  
1 1 298  28.6  3.4987 3.3051  
2 2 298  57.6  3.4435 3.1179  
2 2 298  53.1  3.4512 3.1371  
2 2 298  48.4  3.4603 3.1617  
2 2 298  43.6  3.4704 3.1912  
3 2 298  13    3.5342 3.5088  
3 2 298  21.5  3.5142 3.3800  
1 2 298   0    3.5666  NaN    
4 2 298   1.3  3.5626  NaN    
4 2 298   2.92 3.5591  NaN    
4 2 298   3.94 3.5554  NaN    
4 2 298  17.9  3.5216 3.4248  
2 2 500   2    3.5621  NaN    
2 2 500   9.76 3.543   NaN    
2 2 500  13.9  3.533  3.5137 
2 2 500  21.6  3.5149 3.3886 
2 2 500  25.1  3.5072 3.3481 
2 2 501  44.5  3.4681 3.1912 
2 2 501  46.5  3.4643 3.1805 
3 2 600  39.3  3.4778 3.2277  
3 2 600  47.9  3.462  3.1744 
3 2 600  56.5  3.4458 3.1328  
3 2 600  66.8  3.4297 3.0852  
3 2 600  76.8  3.4126 3.0476 
3 2 600  86     NaN   3.0185 
2 2 750   4.59 3.5584  NaN   
2 2 750   7.58 3.5507  NaN   
2 2 750   8.19 3.5494  NaN    
2 2 750  13.9  3.5347  NaN       
2 2 750  18.7  3.5239 3.4544     
2 2 750  34.7  3.4893 3.2777    
2 2 750  35.7  3.4876 3.2675    
2 2 750  42    3.4745 3.2205   
2 2 750  49.5  3.4605 3.176     
2 2 900  54.8  3.4515 3.1517    
4 2 900   7.31 3.5547  NaN     
4 2 900   9.68 3.5482  NaN     
4 2 900  14.4  3.5365  NaN    
4 2 900  17.7  3.5267  NaN         
4 2 900  20.9  3.5203  NaN    
4 2 900  27.2  3.507  3.3589    
4 2 900  32.2  3.4959 3.3038     
4 2 900  35.7  3.4875 3.2722     
4 2 900  38.7  3.4813 3.2467     
4 2 900  42.5  3.4736 3.2226    
4 2 500   4.59 3.5562  NaN       
4 2 750   5.64 3.556   NaN     
5 3 298  53.4   NaN   3.1363  
5 3 298  91.2   NaN   2.9934  
5 3 298 107.8   NaN   2.9504  
5 3 298 129.9   NaN   2.9034  
5 3 298 135.8   NaN   2.8913  
5 3 298 146.5   NaN   2.8706  
5 3 298 157.7   NaN   2.8514  
5 3 298 166.6   NaN   2.8357  
5 3 298 175.9   NaN   2.8216  
5 3 298 185.0   NaN   2.8087  
5 3 298 193.4   NaN   2.7988  
5 3 298 199.0   NaN   2.7911 
5 3 298 206.1   NaN   2.7818  
5 3 298 205.2   NaN   2.7806  
5 3 298 208.8   NaN   2.7762
