%Temp Terr V      Verr  Ppt(J82) Perr   Vpt   Vpterr
 293   5   149.329 0.059  26.53  0.20   55.762 0.005
2402  70   149.732 0.041  37.46  0.46   56.168 0.002
1618 103   149.446 0.029  32.55  0.68   56.133 0.003
 293   5   147.569 0.037  28.52  0.20   55.488 0.003
2070 112   150.134 0.065  34.88  0.73   56.226 0.003
2668 171   150.256 0.044  40.26  1.13   56.020 0.003
 293   5   147.766 0.033  31.00  0.20   55.163 0.003
 293   5   141.851 0.058  45.11  0.20   53.489 0.004
1916  83   142.888 0.037  52.88  0.55   53.806 0.002
 293   5   141.755 0.036  45.90  0.30   53.404 0.003
2007 103   143.159 0.051  51.52  0.68   54.026 0.003
2269 169   142.167 0.097  55.73  1.11   53.745 0.007
 293   5   140.807 0.045  48.33  0.30   53.145 0.008
 293   5   140.670 0.060  49.51  0.30   53.023 0.007
1972  94   141.487 0.057  56.14  0.62   53.485 0.007
 293   5   140.507 0.032  49.59  0.30   53.011 0.008
2171 144   141.381 0.082  57.53  0.95   53.474 0.008
 293   5   140.783 0.047  49.59  0.30   53.012 0.009
 293   5   138.968 0.041  54.33  0.35   52.534 0.007
 293   5   142.447 0.027  43.17  0.30   53.704 0.006
1759  72   143.967 0.118  45.81  0.47   54.507 0.005
1976  77   144.474 0.044  47.34  0.50   54.496 0.003
 293   5   142.225 0.032  43.48  0.30   53.668 0.004
2103 160   143.929 0.067  48.72  1.06   54.433 0.004
 293   5   141.198 0.087  43.90  0.30   53.622 0.006
 293   5   140.847 0.058  47.49  0.30   53.233 0.006
 293   5   162.300 0.110   0.00  0.00   60.497 0.011
