%Temp   a        b       c      V     Ppt(J82)
 293  4.6496  4.8010  6.6896  149.329  26.53  
2402  4.6493  4.8051  6.7023  149.732  37.46  
1618  4.6472  4.8007  6.6986  149.446  32.55  
 293  4.6218  4.7860  6.6713  147.569  28.52  
2070  4.6547  4.8103  6.7053  150.134  34.88  
2668  4.6714  4.8014  6.6992  150.256  40.26  
 293  4.6371  4.7817  6.6642  147.766  31.00  
 293  4.5553  4.7368  6.5740  141.851  45.11  
1916  4.5716  4.7443  6.5881  142.888  52.88  
 293  4.5571  4.7336  6.5715  141.755  45.90  
2007  4.5774  4.7417  6.5958  143.159  51.52  
2269  4.5632  4.7346  6.5804  142.167  55.73  
 293  4.5313  4.7351  6.5626  140.807  48.33  
 293  4.5395  4.7309  6.5501  140.670  49.51  
1972  4.5427  4.7407  6.5700  141.487  56.14  
 293  4.5368  4.7260  6.5532  140.507  49.59  
2171  4.5484  4.7349  6.5649  141.381  57.53  
 293  4.5483  4.7251  6.5508  140.783  49.59  
 293  4.5145  4.7132  6.5311  138.968  54.33  
 293  4.5576  4.7402  6.5935  142.447  43.17  
1759  4.5661  4.7657  6.6160  143.967  45.81  
1976  4.5835  4.7599  6.6219  144.474  47.34  
 293  4.5576  4.7383  6.5860  142.225  43.48  
2103  4.5688  4.7548  6.6256  143.929  48.72  
 293  4.5238  4.7439  6.5794  141.198  43.90  
 293  4.5485  4.7238  6.5552  140.847  47.49  
 293  4.7765  4.9278  6.8956  162.300   0.00  
