%T     acell, err     bcell, err     ccell, err     V, err      V-NaCl, err    V-Au, err
1230  4.6812 0.0014  4.8369 0.0011  6.7567 0.0031  152.99 0.15  NAN    NAN     3.9654 0.0011
 800  4.6614 0.0013  4.8257 0.0012  6.7331 0.0031  151.46 0.15  4.9637 0.0023  3.9509 0.0017
 800  4.6614 0.0013  4.8257 0.0012  6.7331 0.0031  151.46 0.15  4.9682 0.0034  3.9500 0.0010
 900  4.6653 0.0018  4.8287 0.0014  6.7381 0.0040  151.79 0.19  4.9644 0.0036  3.9533 0.0005
1000  4.6720 0.0013  4.8348 0.0012  6.7371 0.0031  152.18 0.15  4.9748 0.0005  3.9550 0.0021
1100  4.6737 0.0014  4.8321 0.0012  6.7395 0.0033  152.20 0.16  NAN    NAN     3.9583 0.0005
1200  4.6774 0.0016  4.8341 0.0014  6.7421 0.0038  152.45 0.18  NAN    NAN     3.9658 0.0001
1300  4.6826 0.0015  4.8380 0.0013  6.7632 0.0034  153.22 0.17  NAN    NAN     3.9652 0.0003
1400  4.6780 0.0014  4.8326 0.0012  6.7488 0.0033  152.57 0.16  NAN    NAN     3.9689 0.0030
1500  4.6824 0.0008  4.8384 0.0007  6.7521 0.0018  152.97 0.09  NAN    NAN     3.9690 0.0010
1600  4.6863 0.0016  4.8441 0.0013  6.7622 0.0033  153.51 0.17  NAN    NAN     3.9731 0.0035
1700  4.6871 0.0011  4.8404 0.0009  6.7609 0.0025  153.39 0.12  NAN    NAN     3.9710 0.0008
1800  4.6913 0.0014  4.8464 0.0011  6.7740 0.0031  154.01 0.15  NAN    NAN     3.9728 0.0050
1900  4.6936 0.0013  4.8450 0.0013  6.7748 0.0036  154.06 0.16  NAN    NAN     3.9746 0.0021
2000  4.6952 0.0011  4.8457 0.0009  6.7776 0.0025  154.20 0.12  NAN    NAN     3.9772 0.0004
2000  4.6952 0.0011  4.8457 0.0009  6.7776 0.0025  154.20 0.12  NAN    NAN     3.9781 0.0008
 293  4.6528 0.0015  4.8166 0.0012  6.7161 0.0035  150.51 0.16  4.9642 0.0012  3.9420 0.0015
 400  4.6484 0.0012  4.8185 0.0013  6.7121 0.0029  150.34 0.14  4.9667 0.0013  3.9420 0.0007
 500  4.6526 0.0014  4.8167 0.0012  6.7138 0.0032  150.46 0.16  4.9655 0.0009  3.9435 0.0028
 600  4.6549 0.0019  4.8152 0.0016  6.7276 0.0045  150.80 0.21  4.9641 0.0010  3.9469 0.0015
 700  4.6613 0.0013  4.8182 0.0011  6.7275 0.0031  151.10 0.15  4.9649 0.0003  3.9472 0.0010
 800  4.6596 0.0015  4.8207 0.0014  6.7269 0.0035  151.10 0.17  4.9700 0.0016  3.9497 0.0025
 900  4.6578 0.0028  4.8207 0.0010  6.7366 0.0031  151.26 0.19  4.9686 0.0001  3.9510 0.0020
1000  4.6623 0.0019  4.8210 0.0018  6.7289 0.0046  151.24 0.22  4.9696 0.0013  3.9523 0.0023
1100  4.6678 0.0019  4.8273 0.0014  6.7390 0.0041  151.85 0.20  4.9721 0.0009  3.9548 0.0022
1200  4.6666 0.0019  4.8252 0.0018  6.7461 0.0045  151.90 0.22  4.9769 0.0020  3.9559 0.0003
1300  4.6812 0.0019  4.8308 0.0011  6.7473 0.0034  152.58 0.17  4.9829 0.0006  3.9644 0.0014
1400  4.6787 0.0019  4.8332 0.0018  6.7585 0.0045  152.83 0.22  4.9898 0.0003  3.9644 0.0007
1500  4.6835 0.0008  4.8374 0.0007  6.7554 0.0019  153.05 0.09  4.9967 0.0010  3.9664 0.0013
1500  4.6835 0.0008  4.8374 0.0007  6.7554 0.0019  153.05 0.09  5.0001 0.0012  3.9689 0.0016
1600  4.6859 0.0004  4.8388 0.0003  6.7605 0.0009  153.29 0.05  NAN    NAN     3.9698 0.0023
 293  4.6519 0.0012  4.8147 0.0014  6.7228 0.0029  150.57 0.15  4.9636 0.0009  3.9469 0.0052
 293  4.7656 0.0019  4.9282 0.0019  6.9113 0.0042  162.32 0.23  5.6402 0.0016  4.0780 0.0002
