% Data from Katsura2009: Sintered-Diamond Multianvil Apparatus - 1XX, LHDAC - 2XX
%  Provides PVT data for synth MgSiO3 pv using avg of Matsui2000 and Speziale2001 Pressure scale for MgO
% 1   2     3      4        5   6      7     8
%run  T   V/V0-MgO, err  P[GPa], err   Vpv, err
1   1900  0.9614 0.0001   22.8 0.6   278.84 0.03
1   1800  0.9583 0.0001   22.9 0.6   277.95 0.03
1   1700  0.9551 0.0001   22.9 0.5   277.04 0.03
1   1700  0.9559 0.0001   22.5 0.5   277.26 0.03
1   1600  0.9522 0.0001   22.9 0.5   276.17 0.03
1   1500  0.9489 0.0001   23.0 0.5   275.24 0.02
1   1500  0.9523 0.0001   22.1 0.5   276.21 0.03
1   1300  0.9490 0.0001   21.6 0.4   275.27 0.03
1   1100  0.9458 0.0001   21.2 0.3   274.32 0.03
1    900  0.9429 0.0001   20.6 0.3   273.49 0.03
1    700  0.9402 0.0001   20.1 0.2   272.70 0.02
1    500  0.9378 0.0001   19.7 0.2   272.01 0.02
1    306  0.9358 0.0001   19.3 0.2   271.43 0.03
1    300  0.9385 0.0001   18.9 0.1   272.20 0.03
1   2500  0.9480 0.0001   30.1 0.9   274.97 0.04
1   2300  0.9455 0.0001   29.7 0.9   274.23 0.03
1   2100  0.9432 0.0001   29.2 0.8   273.59 0.03
1   1900  0.9402 0.0001   28.6 0.8   272.69 0.03
1   1900  0.9482 0.0001   26.1 0.7   275.02 0.03
1   1700  0.9380 0.0001   27.9 0.7   272.07 0.03
1   1700  0.9462 0.0001   25.5 0.6   274.44 0.03
1   1500  0.9359 0.0001   27.2 0.6   271.47 0.03
1   1500  0.9438 0.0001   24.7 0.5   273.76 0.03
1   1300  0.9335 0.0001   26.6 0.5   270.77 0.03
1   1300  0.9414 0.0001   24.2 0.5   273.04 0.03
1   1100  0.9311 0.0001   25.9 0.4   270.05 0.03
1   1100  0.9388 0.0001   23.5 0.4   272.30 0.03
1    900  0.9287 0.0001   25.4 0.4   269.37 0.03
1    900  0.9363 0.0001   23.0 0.3   271.59 0.03
1    700  0.9263 0.0001   24.8 0.3   268.67 0.03
1    700  0.9340 0.0001   22.4 0.3   270.92 0.03
1    500  0.9243 0.0001   24.5 0.3   268.08 0.03
1    500  0.9314 0.0001   22.1 0.2   270.16 0.03
1    300  0.9234 0.0001   24.1 0.2   267.83 0.03
1    300  0.9229 0.0001   23.9 0.2   267.69 0.03
1    300  0.9297 0.0001   21.5 0.2   269.66 0.03
2   1600  0.9368 0.0003   28.1 0.7   271.72 0.08
2   1700  0.9358 0.0003   29.2 0.7   271.42 0.10
2   1800  0.9369 0.0003   29.2 0.2   271.75 0.10
2   1900  0.9379 0.0003   29.8 0.8   272.05 0.10
2   1700  0.9348 0.0003   28.8 0.7   271.15 0.10
2   1500  0.9311 0.0004   28.5 0.7   270.07 0.11
2   1300  0.9280 0.0004   28.1 0.6   269.15 0.11
2   1100  0.9251 0.0003   27.6 0.5   268.33 0.10
2    900  0.9221 0.0003   27.1 0.4   267.46 0.10
2   1700  0.9170 0.0004   34.3 0.9   265.98 0.11
2   1800  0.9176 0.0004   35.1 1.0   266.15 0.12
2   1700  0.9160 0.0004   34.8 0.9   265.68 0.12
2   1500  0.9131 0.0004   34.3 0.8   264.86 0.12
2   1300  0.9101 0.0004   33.8 0.7   263.98 0.12
2   1100  0.9073 0.0004   33.4 0.6   263.15 0.11
2    900  0.9050 0.0004   33.0 0.5   262.49 0.11
2    700  0.9026 0.0004   32.5 0.4   261.79 0.11
2   1700  0.9513 0.0004   23.7 0.9   275.92 0.12
2   1700  0.9497 0.0003   24.4 0.6   275.45 0.08
2   1500  0.9457 0.0004   24.0 0.6   274.31 0.12
2   1300  0.9435 0.0004   23.6 0.5   273.66 0.13
2   1100  0.9398 0.0004   23.2 0.4   272.58 0.12
2    900  0.9368 0.0004   22.7 0.4   271.73 0.11
2    700  0.9342 0.0004   22.2 0.3   270.97 0.11
2    500  0.9316 0.0004   21.8 0.3   270.20 0.10
2    304  0.9292 0.0003   21.4 0.4   269.52 0.09
2   1700  0.9486 0.0004   24.5 1.0   275.15 0.10
2   1700  0.9482 0.0004   24.8 0.6   275.02 0.11
2   1800  0.9490 0.0004   25.0 0.7   275.26 0.11
2   1800  0.9502 0.0005   25.0 0.7   275.59 0.14
2   1900  0.9515 0.0003   25.0 0.7   275.97 0.10
2   1900  0.9087 0.0005   39.4 1.2   263.56 0.14
2   1700  0.9065 0.0004   39.0 1.1   262.92 0.12
2   1500  0.9043 0.0004   38.4 0.9   262.28 0.11
2   1700  0.8778 0.0005   51.4 1.4   254.61 0.14
2   1500  0.8736 0.0005   51.4 1.2   253.38 0.14
2   1300  0.8719 0.0004   50.9 1.1   252.90 0.13
2   1100  0.8704 0.0004   50.4 0.9   252.45 0.12
2    900  0.8692 0.0004   49.7 0.7   252.11 0.11
2    700  0.8679 0.0004   49.2 0.7   251.73 0.11
2    500  0.8664 0.0004   48.6 0.6   251.31 0.11
2    304  0.8658 0.0003   48.2 0.6   251.12 0.10
2   1900  0.8781 0.0003   52.6 1.6   254.70 0.09
2   1700  0.8947 0.0003   43.9 1.2   259.51 0.08
2   1500  0.8933 0.0003   43.4 1.0   259.11 0.09
2   1300  0.8907 0.0003   42.8 0.9   258.35 0.08
2   1100  0.8880 0.0003   42.5 0.7   257.57 0.07
2    900  0.8866 0.0003   41.7 0.6   257.15 0.07
2    700  0.8850 0.0003   41.1 0.5   256.68 0.07
2    500  0.8834 0.0002   40.6 0.5   256.22 0.07
2    308  0.8821 0.0002   40.2 0.5   255.85 0.07
2   1700  0.8943 0.0003   44.2 1.2   259.40 0.09
2    305  0.9104 0.0002   28.9 0.3   264.06 0.07
