%Tange(2012): PVT tbl for MgSiO3 pv using Vinet-MGD model
%V/V0   300K   1000K   2000K   3000K   4000K
1.00    0.00    4.83   12.57   20.42   28.30
0.98    5.44   10.22   17.93   25.77   33.63
0.96   11.46   16.20   23.88   31.69   39.53
0.94   18.13   22.82   30.47   38.26   46.09
0.92   25.52   30.15   37.77   45.54   53.35
0.90   33.70   38.27   45.86   53.61   61.40
0.88   42.75   47.27   54.84   62.56   70.33
0.86   52.79   57.25   64.78   72.49   80.23
0.84   63.92   68.32   75.82   83.50   91.22
0.82   76.28   80.61   88.08   95.73  103.43
0.80   89.99   94.26  101.69  109.32  117.00
0.78  105.23  109.44  116.83  124.43  132.09
0.76  122.19  126.32  133.68  141.25  148.89
