% Data from Tange2012: Sintered-Diamond Multianvil Apparatus - 1XX, LHDAC - 2XX
%  Provides PVT data for synth MgSiO3 pv using Tange 2009 Pressure scale for MgO
% 1    2    3     4        5       6     7        8      9      10      11      12    13      14    15      16     17
%Run  T, err    acell, err       bcell, err     ccell, err     V, err         V-MgO, err    P-VIN, err     P-BM3, err
101   1300  0   4.6487  0.0011   4.8147 0.0011  6.7134 0.0019  150.26  0.11   66.415 0.011   30.42  0.04    30.07  0.04
101   1100  0   4.6402  0.0013   4.8108 0.0013  6.703  0.002   149.63  0.14   66.136 0.010   30.22  0.04    29.91  0.04
101    900  0   4.6354  0.0014   4.8080 0.0014  6.691  0.002   149.13  0.14   65.950 0.007   29.67  0.03    29.41  0.03
101    700  0   4.6300  0.0015   4.8054 0.0015  6.687  0.003   148.77  0.15   65.81  0.02    28.99  0.10    28.78  0.10
101    500  0   4.6255  0.0010   4.8024 0.0010  6.6813 0.0017  148.42  0.10   65.586 0.011   28.68  0.05    28.52  0.04
101    300  0   4.6238  0.0006   4.7995 0.0006  6.6805 0.0011  148.26  0.06   65.506 0.002   27.966 0.008   27.855 0.008
102   1500  0   4.5991  0.0007   4.7738 0.0007  6.6461 0.0012  145.92  0.07   63.85  0.03    42.82  0.15    42.29  0.15
102   1300  0   4.5932  0.0007   4.7726 0.0007  6.6417 0.0012  145.60  0.07   63.71  0.02    42.15  0.11    41.69  0.11
102   1100  0   4.5885  0.0008   4.7684 0.0008  6.6347 0.0014  145.17  0.08   63.591 0.12    41.37  0.06    40.98  0.06
102    900  0   4.5847  0.0006   4.7667 0.0006  6.6274 0.0011  144.83  0.06   63.39  0.02    41.02  0.10    40.70  0.10
102    700  0   4.5804  0.0008   4.7637 0.0008  6.6225 0.0014  144.50  0.08   63.266 0.011   40.33  0.05    40.09  0.05
102    500  0   4.5774  0.0007   4.7617 0.0007  6.6196 0.0012  144.28  0.07   63.151 0.011   39.67  0.06    39.49  0.06
102    300  0   4.5755  0.0008   4.7603 0.0008  6.6178 0.0014  144.14  0.08   63.07  0.03    39.03  0.13    38.91  0.13
103   1500  0   4.5553  0.0005   4.7417 0.0005  6.5933 0.0009  142.42  0.05   61.98  0.02    52.31  0.11    51.73  0.11
103   1300  0   4.5518  0.0007   4.7406 0.0007  6.5866 0.0013  142.13  0.07   61.831 0.019   51.73  0.11    51.23  0.11
103   1100  0   4.5466  0.0007   4.7384 0.0008  6.5807 0.0013  141.77  0.07   61.69  0.02    51.14  0.13    50.73  0.13
103    900  0   4.5437  0.0008   4.7344 0.0008  6.5758 0.0014  141.46  0.08   61.54  0.02    50.61  0.13    50.28  0.13
103    700  0   4.5392  0.0008   4.7332 0.0008  6.5719 0.0014  141.19  0.08   61.39  0.04    50.2   0.2     49.9   0.2
