% NOTE: These data are WRONG, used incorrect pscale!!!
%Tange(2012)
%measGrp P, err      V, err      T, err  PerrTot
1   30.255 0.040  150.26 0.110  1300  1   0.306
1   30.082 0.040  149.63 0.140  1100  1   0.395
1   29.570 0.030  149.13 0.140   900  1   0.400
1   28.909 0.100  148.77 0.150   700  1   0.444
1   28.661 0.050  148.42 0.100   500  1   0.298
1   27.981 0.008  148.26 0.060   300  0   0.177
1   42.551 0.150  145.92 0.070  1500  1   0.284
1   41.927 0.110  145.60 0.070  1300  1   0.253
1   41.219 0.060  145.17 0.080  1100  1   0.778
1   40.932 0.100  144.83 0.060   900  1   0.232
1   40.311 0.050  144.50 0.080   700  1   0.273
1   39.717 0.060  144.28 0.070   500  1   0.243
1   39.127 0.130  144.14 0.080   300  0   0.330
1   51.995 0.110  142.42 0.050  1500  1   0.223
1   51.515 0.110  142.13 0.070  1300  1   0.282
1   51.011 0.130  141.77 0.070  1100  1   0.288
1   50.584 0.130  141.46 0.080   900  1   0.324
1   50.200 0.200  141.19 0.080   700  1   0.411
1   49.555 0.200  140.97 0.070   500  1   0.389
1   48.919 0.150  140.82 0.050   300  0   0.288
1   61.914 0.130  139.33 0.110  1500  1   0.455
1   62.360 0.200  138.79 0.110  1300  1   0.497
1   62.343 0.400  138.45 0.090  1100  1   0.606
1   61.849 0.300  138.13 0.130   900  1   0.667
1   61.659 0.300  137.80 0.190   700  1   0.881
1   61.164 0.400  137.57 0.170   500  1   0.817
1   60.927 0.400  137.38 0.160   300  0   0.789
2   59.672 0.300  139.93 0.020  1500 20   0.246
2   54.061 0.200  139.41 0.030   300  0   0.338
2   60.268 0.500  140.90 0.020  1980 30   0.384
2   51.952 0.300  140.11 0.040   300  0   0.416
2   68.639 0.200  137.23 0.020  1500 20   0.156
2   60.986 0.080  137.32 0.040   300  0   0.196
2   93.447 0.300  131.15 0.090  1500 20   0.518
2   85.590 0.400  133.41 0.019  1900 30   0.223
2   83.669 0.300  133.27 0.020  1500 20   0.225
2   76.682 0.140  133.28 0.030   300  0   2.029
2  108.028 0.500  128.14 0.050  1870 60   0.308
2  105.914 0.400  128.14 0.040  1550 50   0.239
2   98.706 0.130  128.10 0.050   300  0   0.337
2  103.178 0.500  130.04 0.030  2430 60   0.190
2   89.640 0.140  130.14 0.030   300  0   0.244
