% raw fitted data for 13% Fe-bearing MgPv
%  V     dV     T    dT  Vne111   Vne200    
 146.595 0.199  300   0  34.7067  34.8279  
 145.806 0.169  300   0  34.5239  34.5434  
 144.974 0.247  300   0  33.5801  33.9400  
 144.319 0.248  300   0  33.2522  33.6260  
 142.880 0.091  300   0  32.7709  32.8820  
 142.229 0.174  300   0  32.2729  32.3378  
 141.485 0.183  300   0  31.8768  31.9733  
 140.532 0.231  300   0  31.4878  31.6056  
 139.523 0.167  300   0  31.1464  31.2707  
 138.532 0.337  300   0  30.5911  30.6565  
 138.398 0.207  300   0  30.4494  30.5116  
 137.400 0.233  300   0  30.0513  30.1573  
 137.139 0.271  300   0  29.8168  29.9070  
 136.229 0.166  300   0  29.5597  29.6595  
 136.061 0.181  300   0  29.4366  29.5858  
 135.477 0.156  300   0  29.1870  29.3429  
 135.015 0.151  300   0  29.0197  29.1746  
 134.082 0.199  300   0  28.7023  28.8580  
 133.385 0.215  300   0  28.3884  28.5230  
 133.725 0.176  300   0  28.4411  28.5620  
 133.074 0.133  300   0  28.3245  28.4557  
 133.168 0.175  300   0  28.2867  28.4089  
 132.385 0.166  300   0  28.0947  28.2000  
 131.895 0.214  300   0  27.8494  27.9838  
 131.260 0.172  300   0  27.6678  27.7865  
 130.654 0.173  300   0  27.3653  27.4978  
 130.436 0.155  300   0  27.2610  27.3829  
 130.224 0.237  300   0  27.2362  27.3375  
 130.388 0.156  300   0  27.1556  27.2893  
 129.877 0.174  300   0  27.0541  27.1976  
 129.255 0.234  300   0  26.9531  27.1067  
 128.592 0.147  300   0  26.7564  26.8752  
 128.677 0.172  300   0  26.7166  26.8024  
 128.328 0.182  300   0  26.5513  26.6693  
 127.912 0.139  300   0  26.4385  26.5453  
 127.555 0.249  300   0  26.3117  26.4331  
 125.992 0.248  300   0  25.9797  26.1016  
 126.311 0.154  300   0  25.9040  26.0155  
 126.366 0.182  300   0  25.8110  25.9093  
 125.117 0.323  300   0  25.5822  25.6880  
 124.552 0.178  300   0  25.4872  25.5412  
 125.394 0.110  300   0  25.4980  25.5464  
 124.605 0.181  300   0  25.3849  25.4283  
 123.895 0.296  300   0  25.2816  25.3909  
 124.913 0.300  300   0  25.6507  25.6756  
 124.964 0.266  300   0  25.3247  25.3766  
 124.191 0.257  300   0  25.1415  25.1801  
 122.422 0.290  300   0  24.9638  25.0982  
 124.521 0.172  300   0  25.1296  25.1354  
 146.349 0.263 1700  92  34.4351  34.9372  
 146.385 0.273 1755  92  34.4230  34.9108  
 142.583 0.345 1652  92  33.0877  33.2096  
 142.488 0.343 1720  92  33.3543  33.2509  
 142.629 0.321 1790  92  33.1410  33.0051  
 142.636 0.293 1750  92  33.2913  32.9244  
 142.690 0.298 1665  92  33.1553  32.8930  
 143.503 0.239 1750  92  33.0039  32.8671  
 142.517 0.120 1924  92  32.5988  32.7510  
 140.138 0.231 1652  92  31.0928  31.3701  
 140.211 0.251 1780  92  31.0742  31.3007  
 139.702 0.407 1875  92  30.8148  31.1416  
 139.201 0.218 1916  92  31.2509  31.0911  
 139.242 0.235 2065  92  31.1760  31.0763  
 136.885 0.245 1845  92  29.9548  29.9640  
 136.929 0.256 1922  92  30.0151  29.9540  
 136.902 0.220 2000  92  30.0253  29.9711  
 137.293 0.233 2085  92  30.1244  29.9590  
 136.630 0.189 1862  92  29.8882  29.8336  
 136.596 0.192 1972  92  29.9337  29.8294  
 136.680 0.188 2015  92  29.8781  29.8092  
 133.708 0.208 2155  92  28.6676  28.6946  
 133.633 0.217 1940  92  28.6636  28.6863  
 133.796 0.155 1945  92  28.5822  28.6455  
 133.786 0.153 1975  92  28.5417  28.6544  
 133.921 0.146 2125  92  28.5349  28.6595  
 133.958 0.147 2375  92  28.5274  28.6607  
 133.809 0.153 1840  92  28.4839  28.6509  
 133.862 0.145 1755  92  28.4693  28.6491  
 133.912 0.158 1780  92  28.4579  28.6596  
 133.562 0.091 1715  92  28.4559  28.5784  
 133.711 0.166 1740  92  28.4161  28.5819  
 133.746 0.201 1735  92  28.4119  28.5962  
 133.838 0.160 1800  92  28.4140  28.6091  
 133.822 0.165 1900  92  28.4469  28.6437  
 133.887 0.167 2008  92  28.4393  28.7136  
 130.586 0.200 1685  92  27.3562  27.5368  
 130.630 0.226 1548  92  27.3594  27.4464  
 130.743 0.175 1678  92  27.3318  27.4747  
 130.211 0.185 1635  92  27.4069  27.4326  
 130.250 0.189 1792  92  27.4304  27.4440  
 130.360 0.175 1846  92  27.4451  27.4587  
 130.238 0.226 1895  92  27.4515  27.4691  
 130.470 0.238 1935  92  27.4528  27.5099  
 130.691 0.208 2030  92  27.4672  27.5191  
 128.733 0.141 1825  92  26.8237  26.8967  
 128.697 0.153 1750  92  26.8245  26.8959  
 128.992 0.129 1765  92  26.8500  26.9248  
 128.917 0.164 1805  92  26.8608  26.9429  
 128.904 0.165 1810  92  26.8740  26.9602  
 128.954 0.189 1850  92  26.8847  26.9765  
 128.945 0.146 1890  92  26.8981  27.0377  
 128.925 0.141 1932  92  26.9050  27.0529  
 126.268 0.233 1835  92  26.0683  26.1495  
 126.342 0.090 1695  92  26.0614  26.1713  
 126.516 0.170 1738  92  26.0489  26.1380  
 126.565 0.159 1655  92  26.0570  26.1518  
 126.447 0.220 1610  92  26.0179  26.1693  
 126.531 0.166 1640  92  26.0250  26.1838  
 126.561 0.157 1715  92  26.0295  26.1993  
 126.558 0.165 1758  92  26.0304  26.2102  
 126.263 0.127 1600  92  25.9994  26.1423  
 126.469 0.174 1685  92  26.0030  26.1656  
 126.454 0.127 1832  92  26.0061  26.1714  
 126.544 0.120 1852  92  26.0137  26.1896  
 126.538 0.180 1878  92  26.0105  26.1915  
 126.342 0.236 1825  92  25.9996  26.1136  
 126.579 0.156 2275  92  25.9704  26.1484  
 126.609 0.168 2095  92  25.9389  26.1495  
 124.773 0.187 2141  92  25.5775  25.6757  
 125.392 0.103 1990  92  25.7169  25.8682  
 125.396 0.112 1920  92  25.7157  25.8593  
 125.399 0.102 1890  92  25.7082  25.8449  
 125.424 0.105 2020  92  25.7204  25.8817  
 125.406 0.108 2175  92  25.7523  25.9104  
 125.421 0.105 2228  92  25.7565  25.9074  
 125.401 0.104 2240  92  25.7671  25.8949  
 124.049 0.222 2045  92  25.3563  25.4603  
 124.417 0.250 2025  92  25.3615  25.4680  
 123.978 0.246 1970  92  25.3733  25.4618  
 124.957 0.183 1740  92  25.5263  25.5391  
 124.551 0.200 1895  92  25.5471  25.5619  
 124.335 0.221 1975  92  25.5644  25.5808  
 124.942 0.138 2060  92  25.5753  25.5987  
 125.143 0.156 2145  92  25.5842  25.6064  
 125.235 0.240 2155  92  25.5891  25.6144  
 125.221 0.154 2225  92  25.6030  25.6299  
 124.537 0.284 2262  92  25.6103  25.6431  
 124.553 0.206 2240  92  25.6208  25.6445  
 124.816 0.220 2340  92  25.5318  25.5879  
 124.515 0.256 1944 130  25.5666  25.5791  
 124.629 0.219 1815  92  25.5820  25.6034  
 124.194 0.430 1840  92  25.6050  25.6566  
 122.980 0.142 1865  92  25.1472  25.4573  
 124.322 0.203 1895  92  25.1349  25.4707  
 124.889 0.343 1995  92  25.1287  25.4686  
 124.901 0.247 1980  92  25.0845  25.4756  
 124.596 0.106 2180  92  25.3747  25.4003  
 124.684 0.141 2268  92  25.3944  25.4336  
 124.685 0.154 2368  92  25.4042  25.4490  
 124.704 0.143 2415  92  25.4104  25.4466  
 124.563 0.154 2455  92  25.4263  25.4415  
 124.808 0.250 1995  92  25.0042  25.1852  
 124.595 0.384 2062  92  25.0100  25.1921  
